dataset,backbone,budget,contrast,method_a,method_b,n_pairs,mean_a,mean_b,mean_delta,delta_ci_low,delta_ci_high,wins,ties,losses,cohen_dz,p_exact_signflip,p_holm
aqua20,dinov2_small,001,Adapter - Linear,marine_adapter,linear_probe,5,0.08015722393115768,0.05635326729961573,0.023803956631541952,-0.005429263437996798,0.04975909008537138,4,0,1,0.6982883438114494,0.1875,1.0
aqua20,dinov2_small,005,Adapter - Linear,marine_adapter,linear_probe,5,0.14711521983492631,0.13409404848966439,0.013021171345261932,-0.028758008075368748,0.05134722464775893,3,0,2,0.25413037674233113,0.5625,1.0
aqua20,dinov2_small,010,Adapter - Linear,marine_adapter,linear_probe,5,0.24105687301854148,0.2260511803530282,0.015005692665513253,-0.036024853751208064,0.06603623908223458,2,0,3,0.22434572338022987,0.625,1.0
aqua20,dinov2_small,100,Adapter - Linear,marine_adapter,linear_probe,5,0.8342228546231677,0.8121176286176508,0.022105226005516943,0.005225421709234878,0.039121002458089284,4,0,1,0.9676558684972116,0.125,1.0
aqua20,resnet18,001,Adapter - Linear,marine_adapter,linear_probe,5,0.05615296236802556,0.03372111668086943,0.022431845687156123,0.00715066225038926,0.0494297295087278,5,0,0,0.7410505437773716,0.0625,1.0
aqua20,resnet18,005,Adapter - Linear,marine_adapter,linear_probe,5,0.07968410991640969,0.04504599777591316,0.03463811214049651,0.02316176830471044,0.04395235250457396,5,0,0,2.4497153411204815,0.0625,1.0
aqua20,resnet18,010,Adapter - Linear,marine_adapter,linear_probe,5,0.11621326080918074,0.05438520351015297,0.06182805729902776,0.044605940292611716,0.0790501743054438,5,0,0,2.8334008313157,0.0625,1.0
aqua20,resnet18,100,Adapter - Linear,marine_adapter,linear_probe,5,0.6445971555840485,0.42529994096354046,0.21929721462050797,0.20589989392396993,0.23237478886219573,5,0,0,12.367882232364195,0.0625,1.0
fathomnet,dinov2_small,001,Adapter - Linear,marine_adapter,linear_probe,5,0.03142561225073293,0.024730957368596044,0.00669465488213689,-0.0011125043289380223,0.014558934900920386,4,0,1,0.6516685879910489,0.3125,1.0
fathomnet,dinov2_small,005,Adapter - Linear,marine_adapter,linear_probe,5,0.18892004286007516,0.12890501423616124,0.060015028623913905,0.04568555010197717,0.07668121921546107,5,0,0,3.064373526807389,0.0625,1.0
fathomnet,dinov2_small,010,Adapter - Linear,marine_adapter,linear_probe,5,0.34831704088835425,0.28242490118972297,0.06589213969863131,0.04759242200965656,0.08666782625840733,5,0,0,2.646230476126874,0.0625,1.0
fathomnet,dinov2_small,100,Adapter - Linear,marine_adapter,linear_probe,5,0.666267923025951,0.6384763868930133,0.0277915361329377,0.025181329086651827,0.030562233126862615,5,0,0,7.969968445844146,0.0625,1.0
fathomnet,resnet18,001,Adapter - Linear,marine_adapter,linear_probe,5,0.028308392373529966,0.011923123550473235,0.016385268823056732,0.014189720766085923,0.018661369048647385,5,0,0,5.643696646116327,0.0625,1.0
fathomnet,resnet18,005,Adapter - Linear,marine_adapter,linear_probe,5,0.1273525479768133,0.05875646332611698,0.0685960846506963,0.05987680382685179,0.08204516062401357,5,0,0,4.62078955370433,0.0625,1.0
fathomnet,resnet18,010,Adapter - Linear,marine_adapter,linear_probe,5,0.23285237312131324,0.14793905246603525,0.08491332065527801,0.07388366895715073,0.0959429723534053,5,0,0,5.792089669581495,0.0625,1.0
fathomnet,resnet18,100,Adapter - Linear,marine_adapter,linear_probe,5,0.5172698207327762,0.4179657766093305,0.09930404412344569,0.09654536462381885,0.1023290063213412,5,0,0,26.661416063380308,0.0625,1.0
