dataset,backbone,method,budget,n,test_macro_f1_mean,test_macro_f1_sd,test_macro_f1_ci_low,test_macro_f1_ci_high,test_accuracy_mean,test_accuracy_sd,test_accuracy_ci_low,test_accuracy_ci_high,test_balanced_accuracy_mean,test_balanced_accuracy_sd,test_balanced_accuracy_ci_low,test_balanced_accuracy_ci_high
aqua20,dinov2_small,full_finetune,001,5,0.1901109695637728,0.055532585860171804,0.1529922146822702,0.2371692069347766,0.5809442060085837,0.060602925228282783,0.535793991416309,0.6295278969957081,0.19351013012534116,0.05163918341909579,0.16038520943413564,0.24010555093493008
aqua20,dinov2_small,last_block_ft,001,5,0.14658987098766418,0.043072580710069974,0.11748406289209408,0.1832441398332066,0.5491845493562232,0.055101011768472416,0.5110729613733905,0.5970815450643777,0.15123747056500933,0.04057329849185424,0.12492310871169499,0.1864255380994908
aqua20,dinov2_small,linear_probe,001,5,0.05635326729961573,0.03586740321645321,0.032586942707089915,0.08884566251260546,0.1586266094420601,0.10318903318589236,0.08703862660944206,0.2429184549356223,0.07585706664951561,0.051013429545826376,0.03973745583000617,0.12117008993949771
aqua20,dinov2_small,marine_adapter,001,5,0.08015722393115768,0.02419558511029909,0.0632294375676655,0.09936136006698587,0.27313304721030046,0.11841978703505866,0.17665236051502148,0.3562231759656652,0.09499102422936806,0.024496535321629966,0.07563733818029088,0.11404652138356834
aqua20,dinov2_small,mlp_head,001,5,0.12476773212372194,0.018460963624137124,0.11007904480736883,0.13842439639230467,0.5565665236051502,0.03200577412953523,0.5342489270386267,0.5818025751072962,0.12877546464341483,0.014296873249705288,0.11739234901839482,0.1393392341036864
aqua20,dinov2_small,full_finetune,005,5,0.31375464385408497,0.13691110731996842,0.19522240261664847,0.4075307907220608,0.6825751072961374,0.11574845517654878,0.5802575107296136,0.7471244635193133,0.3060599049368372,0.12822476742122682,0.194621974494204,0.3936405328174247
aqua20,dinov2_small,last_block_ft,005,5,0.386168321108611,0.023088574995001575,0.37069533465383253,0.4050053946223523,0.7732188841201716,0.008824936077235947,0.7668669527896995,0.7804291845493561,0.3770917488589434,0.029867169380982366,0.35956450262305434,0.40387164646460105
aqua20,dinov2_small,linear_probe,005,5,0.13409404848966439,0.059648315382365744,0.09459260592679,0.1858783980449538,0.39622317596566525,0.10847523804055392,0.32068669527897,0.4884120171673819,0.13696051668262277,0.05851799348788841,0.09819942267984638,0.18614780267273648
aqua20,dinov2_small,marine_adapter,005,5,0.14711521983492631,0.024009572530218452,0.12846047650888665,0.16576996316096598,0.5740772532188843,0.021769431737884756,0.5570815450643778,0.5910729613733905,0.14575018083835617,0.014553625084535227,0.1350173772042133,0.15798273605555618
aqua20,dinov2_small,mlp_head,005,5,0.2292536532728172,0.020580009637013248,0.212630523732596,0.24485298883651577,0.7184549356223177,0.016410347033738323,0.705579399141631,0.7313304721030043,0.2320840205042642,0.017858175192221968,0.21700719557564713,0.24642508343420766
aqua20,dinov2_small,full_finetune,010,5,0.40802071339115964,0.16424567700761483,0.2606668024469183,0.48553343202973875,0.750901287553648,0.1222240437358255,0.6405150214592276,0.8121888412017167,0.40013941861525215,0.15434291593783558,0.2614414629757982,0.4712618469878759
aqua20,dinov2_small,last_block_ft,010,5,0.5433413702439718,0.029754693725260843,0.5203964492667603,0.5662862912211833,0.8331330472103003,0.009296577213089987,0.8260944206008582,0.8406866952789699,0.5446431255173974,0.0324927050614882,0.5255912784913374,0.5739665681858017
aqua20,dinov2_small,linear_probe,010,5,0.22605118035302824,0.07224746755149453,0.17206812058608717,0.2816352930988212,0.5802575107296137,0.06655267259176889,0.5352789699570815,0.6341630901287554,0.21689449907854677,0.06596710765067164,0.16817130932488622,0.26947490273014024
aqua20,dinov2_small,marine_adapter,010,5,0.24105687301854148,0.02374629513120583,0.22377161335311996,0.26129464603418273,0.7131330472103004,0.009292613632772116,0.7071244635193132,0.7215450643776824,0.23398839254545437,0.016271197915599403,0.221558859631045,0.247037859123582
aqua20,dinov2_small,mlp_head,010,5,0.39357984824627457,0.012561640752386551,0.3847932053619297,0.40392643786753296,0.799656652360515,0.008973960541586348,0.7929613733905578,0.8068669527896996,0.3811592343576582,0.012321655886871648,0.372700557976119,0.39216057933797577
aqua20,dinov2_small,full_finetune,100,5,0.8361895252896808,0.01931577524636265,0.8212326071946796,0.851146443384682,0.9102145922746783,0.0068022704742176626,0.9043776824034335,0.9148497854077254,0.8136120778404031,0.029068658852176205,0.7894142596394945,0.8353255311588759
aqua20,dinov2_small,last_block_ft,100,5,0.8766222240100727,0.02033050003333395,0.8596561713044251,0.8900445698911668,0.9158798283261802,0.004161098590056936,0.9124463519313306,0.918969957081545,0.8768760283364699,0.022419922854421053,0.8572934472105865,0.8903340002983736
aqua20,dinov2_small,linear_probe,100,5,0.8121176286176508,0.011163360099695135,0.8038757336313269,0.8213305062350719,0.8878969957081544,0.0044436666456806224,0.8841201716738197,0.8908154506437768,0.8005354388945397,0.011694930915846046,0.7920769706398398,0.8099478732679047
