method,budget,n,test_macro_f1_mean,test_macro_f1_sd,test_macro_f1_ci_low,test_macro_f1_ci_high,test_accuracy_mean,test_accuracy_sd,test_accuracy_ci_low,test_accuracy_ci_high,test_balanced_accuracy_mean,test_balanced_accuracy_sd,test_balanced_accuracy_ci_low,test_balanced_accuracy_ci_high
full_finetune,shot01,3,0.01450484962340203,0.004353028773708016,0.010116034046553276,0.018821186458481177,0.021933707091570765,0.004733435395108082,0.017409265269991148,0.026851578636766005,0.020482028048423955,0.004597988844747012,0.01632153869233309,0.025418712408102614
last_block_ft,shot01,3,0.017205575238492,0.005147149061847458,0.012544004149026006,0.022729393776832845,0.025966361758630863,0.004609176557041403,0.02301563883151372,0.03127766302744173,0.0255245694837148,0.005336127123269153,0.020584502889649154,0.031183812590455384
linear_probe,shot01,3,0.009057747357952029,0.0009466318317384633,0.008372189075234009,0.010137831867261155,0.02173699222976296,0.0016251314686592214,0.020655060489820007,0.023605783416937153,0.020164265002775367,0.0007540841728047355,0.019294866171946163,0.020640823639267395
marine_adapter,shot01,3,0.01298532249686093,0.0035085140436834847,0.009528082403984648,0.016542955665143973,0.019671486180780958,0.006365177412162264,0.012393036293892004,0.02419592800236058,0.020936043861903824,0.007602756317407286,0.013269031015109463,0.028472871649589292
mlp_head,shot01,3,0.023204023961861275,0.0010904424898577694,0.021991541784050782,0.024104339956285765,0.031572735320153436,0.0021277965626816104,0.029802301563883152,0.03393331366184715,0.03166130530632727,0.0037402082517990617,0.027353244446423796,0.03407918510116656
full_finetune,shot02,3,0.024647507123972522,0.0032600543723638113,0.021679297083281302,0.028136668596521735,0.032359594767384675,0.0027889145035424052,0.029212156978459723,0.03452345824727058,0.031694466224513905,0.00406528133250674,0.02732684703563797,0.03536805408371137
last_block_ft,shot02,3,0.02761651302521058,0.001976293421332666,0.026223960202808694,0.0298784628266236,0.03531031769450182,0.0052147993082764105,0.03186780761286515,0.041310120979640014,0.037154509875770285,0.004707397657048639,0.03353542836829017,0.042476354643010396
linear_probe,shot02,3,0.010329753815699722,0.0015552499971406178,0.009029548569071802,0.012052657581391341,0.022032064522474675,0.001330554662975183,0.020655060489820007,0.023310711124225437,0.02104559392775121,0.001386092980850877,0.01985061745377679,0.022565186915593668
marine_adapter,shot02,3,0.020260421428935128,0.0019217324541319662,0.01902887893219634,0.022474796109775774,0.027441723222189435,0.0031916948440224168,0.023900855709648863,0.030097373856594865,0.028595055355497962,0.006216260707396002,0.023257058621536805,0.035419921902953046
mlp_head,shot02,3,0.03359544141029961,0.004660795308347688,0.03000142506806119,0.03886164225480959,0.04790006885020163,0.005784721531438028,0.04249041015048687,0.05399822956624373,0.04591665270570982,0.0013593916988878256,0.04435557045575551,0.04683936431870513
full_finetune,shot05,3,0.05605075881966698,0.0023219456129255976,0.05373014589962841,0.0583740348347035,0.07573522179600668,0.0028658999280679527,0.07258778400708174,0.0781941575686043,0.06725796223537879,0.00525455705480333,0.06158176448975059,0.07195238925983459
last_block_ft,shot05,3,0.0650994386970344,0.001753381242806211,0.06313790624424231,0.06651453038907489,0.07721058325956526,0.010307839988210046,0.06609619356742402,0.0864561817645323,0.07616475981982379,0.0071162978163438195,0.0680615612639218,0.08139759763575967
linear_probe,shot05,3,0.02443792721939883,0.00111538363669945,0.02316741735240264,0.025256032270249584,0.0389495426379463,0.002814810272696801,0.03717910888167601,0.042195337857775156,0.037547981580629046,0.002248420300234891,0.03623022030575759,0.0401441342080923
marine_adapter,shot05,3,0.04735422316168523,0.002407398255162154,0.045667411474937296,0.05011115091740975,0.05576866332251401,0.001286190304969217,0.054293301858955444,0.05665388020064916,0.055619124839818006,0.002847979734725947,0.053779564744418175,0.05889962565901316
mlp_head,shot05,3,0.06613874201571047,0.004341518522165566,0.06341100791808817,0.07114518824661337,0.0904888364315924,0.007283764564403901,0.08439067571555031,0.0985541457657126,0.08955016003481692,0.006781221686384156,0.08205801206858208,0.09526746629722543
full_finetune,shot10,3,0.151565997142965,0.009727052211221958,0.14474764036408103,0.16270486199737588,0.1868791187174191,0.010396152463242901,0.17586308645618176,0.19651814694600178,0.17801134605415256,0.009566589393182346,0.1681848929974307,0.18729495561615941
last_block_ft,shot10,3,0.17543405262454917,0.015027925005077035,0.1647692272417426,0.192621196634034,0.19632143208419395,0.012726934677889896,0.18560047211566835,0.21038654470345233,0.19666509194502138,0.013305176396341645,0.18552677203684378,0.21139837166890194
linear_probe,shot10,3,0.05963420077185049,0.00417033910918049,0.055679289884429904,0.06399088680337313,0.07671879610504574,0.01023862589135289,0.06491590439657716,0.08321038654470345,0.07683026121174814,0.005703548063654158,0.07031228857979033,0.08090624513555698
marine_adapter,shot10,3,0.11940129443789432,0.0029979868912944547,0.1168596051725163,0.1227075228572609,0.14035605389987216,0.007331423292449784,0.13189731484213632,0.14488049572145176,0.13981097879099816,0.004663569801839563,0.13683828052802743,0.1451859243369534
mlp_head,shot10,3,0.15378068293504743,0.010103037301047191,0.1423282502996074,0.16143114007823137,0.18451854037572538,0.012910326092833152,0.17320743582177633,0.19858365299498373,0.17938625921759663,0.009341779271139562,0.16894024957474,0.18693939318924455
