dataset,backbone,method,budget,n,f1_mean,f1_sd,acc_mean,balacc_mean
aqua20,dinov2_small,full_finetune,001,5,0.19011096956377277,0.0555325858601718,0.5809442060085838,0.19351013012534116
aqua20,dinov2_small,last_block_ft,001,5,0.14658987098766418,0.04307258071006998,0.5491845493562232,0.1512374705650093
aqua20,dinov2_small,linear_probe,001,5,0.05635326729961573,0.03586740321645321,0.15862660944206008,0.07585706664951561
aqua20,dinov2_small,marine_adapter,001,5,0.08015722393115768,0.02419558511029909,0.2731330472103004,0.09499102422936807
aqua20,dinov2_small,mlp_head,001,5,0.12476773212372194,0.018460963624137114,0.5565665236051502,0.12877546464341483
aqua20,dinov2_small,full_finetune,005,3,0.35369872726438656,0.07284602418542169,0.7321888412017167,0.3453411355804736
aqua20,dinov2_small,last_block_ft,005,5,0.386168321108611,0.023088574995001564,0.7732188841201717,0.3770917488589435
aqua20,dinov2_small,linear_probe,005,5,0.13409404848966439,0.059648315382365744,0.39622317596566525,0.13696051668262277
aqua20,dinov2_small,marine_adapter,005,5,0.14711521983492631,0.024009572530218456,0.5740772532188841,0.14575018083835617
aqua20,dinov2_small,mlp_head,005,5,0.2292536532728172,0.020580009637013248,0.7184549356223175,0.2320840205042642
aqua20,dinov2_small,full_finetune,010,3,0.35542438154537476,0.20873827049297247,0.717310443490701,0.3529945448483259
aqua20,dinov2_small,last_block_ft,010,5,0.5433413702439718,0.029754693725260843,0.8331330472103005,0.5446431255173972
aqua20,dinov2_small,linear_probe,010,5,0.22605118035302824,0.07224746755149453,0.5802575107296137,0.21689449907854677
aqua20,dinov2_small,marine_adapter,010,5,0.24105687301854148,0.023746295131205835,0.7131330472103004,0.23398839254545437
aqua20,dinov2_small,mlp_head,010,5,0.39357984824627457,0.012561640752386548,0.799656652360515,0.38115923435765825
aqua20,dinov2_small,full_finetune,100,5,0.8361895252896808,0.01931577524636264,0.910214592274678,0.8136120778404031
aqua20,dinov2_small,last_block_ft,100,5,0.8766222240100727,0.02033050003333396,0.9158798283261802,0.8768760283364699
aqua20,dinov2_small,linear_probe,100,5,0.8121176286176508,0.011163360099695095,0.8878969957081544,0.8005354388945397
aqua20,dinov2_small,marine_adapter,100,5,0.8342228546231677,0.015076180380724771,0.9052360515021458,0.8213465981718284
aqua20,dinov2_small,mlp_head,100,5,0.8531138562436249,0.01830495697004536,0.9091845493562232,0.8437413165972725
aqua20,resnet18,full_finetune,001,5,0.07394929477322602,0.014145996838689332,0.3615450643776824,0.09227325218393899
aqua20,resnet18,last_block_ft,001,5,0.06744578144122773,0.01206922781605769,0.36017167381974247,0.08455837077761941
aqua20,resnet18,linear_probe,001,5,0.03372111668086943,0.010549855527285821,0.21201716738197426,0.05174830294989404
