stage,dataset,backbone,method,budget,seed,n_train,n_test,test_accuracy,test_macro_f1,test_balanced_accuracy,majority_class
majority,fathomnet,none,majority,001,42,220,3389,0.00944231336677486,0.0002368098749717863,0.012658227848101266,55
majority,fathomnet,none,majority,001,43,220,3389,0.011802891708468575,0.00029532173457220805,0.012658227848101266,56
majority,fathomnet,none,majority,001,44,220,3389,0.010622602537621718,0.00026609997228125285,0.012658227848101266,36
majority,fathomnet,none,majority,001,45,220,3389,0.005311301268810859,0.00013375292120095263,0.012658227848101266,74
majority,fathomnet,none,majority,001,46,220,3389,0.009737385659486574,0.0002441388188120057,0.012658227848101266,35
majority,fathomnet,none,majority,005,42,875,3389,0.005311301268810859,0.00013375292120095263,0.012658227848101266,74
majority,fathomnet,none,majority,005,43,875,3389,0.00885216878135143,0.00022213912573444748,0.012658227848101266,28
majority,fathomnet,none,majority,005,44,875,3389,0.00885216878135143,0.00022213912573444748,0.012658227848101266,10
majority,fathomnet,none,majority,005,45,875,3389,0.00885216878135143,0.00022213912573444748,0.012658227848101266,10
majority,fathomnet,none,majority,005,46,875,3389,0.00885216878135143,0.00022213912573444748,0.012658227848101266,10
majority,fathomnet,none,majority,010,42,1709,3389,0.008557096488639717,0.0002147973128115487,0.012658227848101266,20
majority,fathomnet,none,majority,010,43,1709,3389,0.005311301268810859,0.00013375292120095263,0.012658227848101266,74
majority,fathomnet,none,majority,010,44,1709,3389,0.008557096488639717,0.0002147973128115487,0.012658227848101266,20
majority,fathomnet,none,majority,010,45,1709,3389,0.005311301268810859,0.00013375292120095263,0.012658227848101266,74
majority,fathomnet,none,majority,010,46,1709,3389,0.00885216878135143,0.00022213912573444748,0.012658227848101266,10
majority,fathomnet,none,majority,100,42,16688,3389,0.008557096488639717,0.0002147973128115487,0.012658227848101266,20
majority,fathomnet,none,majority,100,43,16688,3389,0.008557096488639717,0.0002147973128115487,0.012658227848101266,20
majority,fathomnet,none,majority,100,44,16688,3389,0.008557096488639717,0.0002147973128115487,0.012658227848101266,20
majority,fathomnet,none,majority,100,45,16688,3389,0.008557096488639717,0.0002147973128115487,0.012658227848101266,20
majority,fathomnet,none,majority,100,46,16688,3389,0.008557096488639717,0.0002147973128115487,0.012658227848101266,20
majority,aqua20,none,majority,001,42,70,1165,0.32875536480686696,0.02474160206718346,0.05,4
majority,aqua20,none,majority,001,43,70,1165,0.32875536480686696,0.02474160206718346,0.05,4
majority,aqua20,none,majority,001,44,70,1165,0.32875536480686696,0.02474160206718346,0.05,4
majority,aqua20,none,majority,001,45,70,1165,0.32875536480686696,0.02474160206718346,0.05,4
majority,aqua20,none,majority,001,46,70,1165,0.32875536480686696,0.02474160206718346,0.05,4
majority,aqua20,none,majority,005,42,302,1165,0.32875536480686696,0.02474160206718346,0.05,4
majority,aqua20,none,majority,005,43,302,1165,0.32875536480686696,0.02474160206718346,0.05,4
majority,aqua20,none,majority,005,44,302,1165,0.32875536480686696,0.02474160206718346,0.05,4
majority,aqua20,none,majority,005,45,302,1165,0.32875536480686696,0.02474160206718346,0.05,4
majority,aqua20,none,majority,005,46,302,1165,0.32875536480686696,0.02474160206718346,0.05,4
majority,aqua20,none,majority,010,42,592,1165,0.32875536480686696,0.02474160206718346,0.05,4
majority,aqua20,none,majority,010,43,592,1165,0.32875536480686696,0.02474160206718346,0.05,4
majority,aqua20,none,majority,010,44,592,1165,0.32875536480686696,0.02474160206718346,0.05,4
majority,aqua20,none,majority,010,45,592,1165,0.32875536480686696,0.02474160206718346,0.05,4
majority,aqua20,none,majority,010,46,592,1165,0.32875536480686696,0.02474160206718346,0.05,4
majority,aqua20,none,majority,100,42,5842,1165,0.32875536480686696,0.02474160206718346,0.05,4
majority,aqua20,none,majority,100,43,5842,1165,0.32875536480686696,0.02474160206718346,0.05,4
majority,aqua20,none,majority,100,44,5842,1165,0.32875536480686696,0.02474160206718346,0.05,4
majority,aqua20,none,majority,100,45,5842,1165,0.32875536480686696,0.02474160206718346,0.05,4
majority,aqua20,none,majority,100,46,5842,1165,0.32875536480686696,0.02474160206718346,0.05,4
