dataset,seed,nominal_budget,rows,groups,full_train_rows,realized_row_fraction,n_classes
fathomnet,42,0.01,630,124,16688,0.037751677852348994,79
fathomnet,42,0.05,2044,460,16688,0.12248322147651007,79
fathomnet,42,0.1,3325,858,16688,0.19924496644295303,79
fathomnet,42,1.0,16688,6413,16688,1.0,79
fathomnet,43,0.01,589,123,16688,0.03529482262703739,79
fathomnet,43,0.05,1803,459,16688,0.10804170661553211,79
fathomnet,43,0.1,3388,872,16688,0.20302013422818793,79
fathomnet,43,1.0,16688,6413,16688,1.0,79
fathomnet,44,0.01,555,125,16688,0.033257430488974116,79
fathomnet,44,0.05,1738,463,16688,0.10414669223394056,79
fathomnet,44,0.1,3199,874,16688,0.19169463087248323,79
fathomnet,44,1.0,16688,6413,16688,1.0,79
fathomnet,45,0.01,682,125,16688,0.04086768935762224,79
fathomnet,45,0.05,1912,462,16688,0.11457334611697027,79
fathomnet,45,0.1,3345,861,16688,0.20044343240651966,79
fathomnet,45,1.0,16688,6413,16688,1.0,79
fathomnet,46,0.01,618,125,16688,0.03703259827420901,79
fathomnet,46,0.05,1785,461,16688,0.10696308724832215,79
fathomnet,46,0.1,3334,872,16688,0.199784276126558,79
fathomnet,46,1.0,16688,6413,16688,1.0,79
aqua20,42,0.01,73,69,5842,0.0124957206436152,20
aqua20,42,0.05,304,299,5842,0.05203697363916467,20
aqua20,42,0.1,593,588,5842,0.1015063334474495,20
aqua20,42,1.0,5842,5805,5842,1.0,20
aqua20,43,0.01,69,69,5842,0.011811023622047244,20
aqua20,43,0.05,300,299,5842,0.05135227661759671,20
aqua20,43,0.1,590,588,5842,0.10099281068127354,20
aqua20,43,1.0,5842,5805,5842,1.0,20
aqua20,44,0.01,69,69,5842,0.011811023622047244,20
aqua20,44,0.05,300,299,5842,0.05135227661759671,20
aqua20,44,0.1,592,588,5842,0.10133515919205752,20
aqua20,44,1.0,5842,5805,5842,1.0,20
aqua20,45,0.01,69,69,5842,0.011811023622047244,20
aqua20,45,0.05,300,299,5842,0.05135227661759671,20
aqua20,45,0.1,590,588,5842,0.10099281068127354,20
aqua20,45,1.0,5842,5805,5842,1.0,20
aqua20,46,0.01,70,69,5842,0.011982197877439232,20
aqua20,46,0.05,301,299,5842,0.0515234508729887,20
aqua20,46,0.1,592,588,5842,0.10133515919205752,20
aqua20,46,1.0,5842,5805,5842,1.0,20
