dataset,seed,nominal_budget,rows,full_train_rows,realized_row_fraction,n_classes,min_class_samples,max_class_samples
fathomnet,42,0.01,220,16688,0.013183125599232981,79,2,3
fathomnet,42,0.05,875,16688,0.05243288590604027,79,7,13
fathomnet,42,0.1,1709,16688,0.10240891658676894,79,14,25
fathomnet,42,1.0,16688,16688,1.0,79,132,247
fathomnet,43,0.01,220,16688,0.013183125599232981,79,2,3
fathomnet,43,0.05,875,16688,0.05243288590604027,79,7,13
fathomnet,43,0.1,1709,16688,0.10240891658676894,79,14,25
fathomnet,43,1.0,16688,16688,1.0,79,132,247
fathomnet,44,0.01,220,16688,0.013183125599232981,79,2,3
fathomnet,44,0.05,875,16688,0.05243288590604027,79,7,13
fathomnet,44,0.1,1709,16688,0.10240891658676894,79,14,25
fathomnet,44,1.0,16688,16688,1.0,79,132,247
fathomnet,45,0.01,220,16688,0.013183125599232981,79,2,3
fathomnet,45,0.05,875,16688,0.05243288590604027,79,7,13
fathomnet,45,0.1,1709,16688,0.10240891658676894,79,14,25
fathomnet,45,1.0,16688,16688,1.0,79,132,247
fathomnet,46,0.01,220,16688,0.013183125599232981,79,2,3
fathomnet,46,0.05,875,16688,0.05243288590604027,79,7,13
fathomnet,46,0.1,1709,16688,0.10240891658676894,79,14,25
fathomnet,46,1.0,16688,16688,1.0,79,132,247
aqua20,42,0.01,70,5842,0.011982197877439232,20,1,20
aqua20,42,0.05,302,5842,0.05169462512838069,20,1,98
aqua20,42,0.1,592,5842,0.10133515919205752,20,2,196
aqua20,42,1.0,5842,5842,1.0,20,16,1960
aqua20,43,0.01,70,5842,0.011982197877439232,20,1,20
aqua20,43,0.05,302,5842,0.05169462512838069,20,1,98
aqua20,43,0.1,592,5842,0.10133515919205752,20,2,196
aqua20,43,1.0,5842,5842,1.0,20,16,1960
aqua20,44,0.01,70,5842,0.011982197877439232,20,1,20
aqua20,44,0.05,302,5842,0.05169462512838069,20,1,98
aqua20,44,0.1,592,5842,0.10133515919205752,20,2,196
aqua20,44,1.0,5842,5842,1.0,20,16,1960
aqua20,45,0.01,70,5842,0.011982197877439232,20,1,20
aqua20,45,0.05,302,5842,0.05169462512838069,20,1,98
aqua20,45,0.1,592,5842,0.10133515919205752,20,2,196
aqua20,45,1.0,5842,5842,1.0,20,16,1960
aqua20,46,0.01,70,5842,0.011982197877439232,20,1,20
aqua20,46,0.05,302,5842,0.05169462512838069,20,1,98
aqua20,46,0.1,592,5842,0.10133515919205752,20,2,196
aqua20,46,1.0,5842,5842,1.0,20,16,1960
