dataset,storage_split,original_split,original_index,label_id,label,path,sha256,width,height,group_id,fold,split
AQUA20,train,train,0,0,coral,/home/tahiti/MARINE_DATASETS/AQUA20_PREPARED/images/train/00_coral/train_000000_d6d6e5a08a5e.jpg,d6d6e5a08a5eba4b0bf208f84976e2a3fdf3aa6dad7a1861f57aa96a7094f26f,256,256,d6d6e5a08a5eba4b0bf208f84976e2a3fdf3aa6dad7a1861f57aa96a7094f26f,3,train
AQUA20,train,train,1,0,coral,/home/tahiti/MARINE_DATASETS/AQUA20_PREPARED/images/train/00_coral/train_000001_034cb7b3ecf6.jpg,034cb7b3ecf6224ae3c05c2cabfce0ad7e3358c36a2a0e93c7c7974c5ac4c32f,256,256,034cb7b3ecf6224ae3c05c2cabfce0ad7e3358c36a2a0e93c7c7974c5ac4c32f,3,train
AQUA20,train,train,4,0,coral,/home/tahiti/MARINE_DATASETS/AQUA20_PREPARED/images/train/00_coral/train_000004_57364cb20d39.jpg,57364cb20d39851e66543a7e263170bf27357bcb2f1dfbcacc1e4c0595e3ca51,320,240,57364cb20d39851e66543a7e263170bf27357bcb2f1dfbcacc1e4c0595e3ca51,2,train
AQUA20,train,train,5,0,coral,/home/tahiti/MARINE_DATASETS/AQUA20_PREPARED/images/train/00_coral/train_000005_03e037cea67d.jpg,03e037cea67d56d87775a332682b3c142b55e8b07212cf86bbbac32490ed5277,320,240,03e037cea67d56d87775a332682b3c142b55e8b07212cf86bbbac32490ed5277,5,train
AQUA20,train,train,9,0,coral,/home/tahiti/MARINE_DATASETS/AQUA20_PREPARED/images/train/00_coral/train_000009_c3dfbcd1ede4.jpg,c3dfbcd1ede4fddc3cf0797660e2fdf39c6fed04f7d0a7a89eb40a6185d84f39,256,256,c3dfbcd1ede4fddc3cf0797660e2fdf39c6fed04f7d0a7a89eb40a6185d84f39,3,train
AQUA20,train,train,11,0,coral,/home/tahiti/MARINE_DATASETS/AQUA20_PREPARED/images/train/00_coral/train_000011_5c1eaa045250.jpg,5c1eaa04525004d77e275281acafe5a6c8b3fb72d32471cc23ecbd81a1f49192,256,256,5c1eaa04525004d77e275281acafe5a6c8b3fb72d32471cc23ecbd81a1f49192,6,train
AQUA20,train,train,13,0,coral,/home/tahiti/MARINE_DATASETS/AQUA20_PREPARED/images/train/00_coral/train_000013_837f8fac06e2.jpg,837f8fac06e2cec1857d48725e5d7b3f1b8a4987c9e6dca58354388c2638e2a7,256,256,837f8fac06e2cec1857d48725e5d7b3f1b8a4987c9e6dca58354388c2638e2a7,3,train
AQUA20,train,train,14,0,coral,/home/tahiti/MARINE_DATASETS/AQUA20_PREPARED/images/train/00_coral/train_000014_6f1ccd61b811.jpg,6f1ccd61b811c5df09990ae6df7dafae5a488569a2880abe4d0ff79a1efc8b3d,256,256,6f1ccd61b811c5df09990ae6df7dafae5a488569a2880abe4d0ff79a1efc8b3d,4,train
AQUA20,train,train,18,0,coral,/home/tahiti/MARINE_DATASETS/AQUA20_PREPARED/images/train/00_coral/train_000018_ffe8ec0bf273.jpg,ffe8ec0bf273fdd4b24bdbd5bfbbdc501df4b12e7f140f988deb11e19ed2ff33,256,256,ffe8ec0bf273fdd4b24bdbd5bfbbdc501df4b12e7f140f988deb11e19ed2ff33,4,train
AQUA20,train,train,19,0,coral,/home/tahiti/MARINE_DATASETS/AQUA20_PREPARED/images/train/00_coral/train_000019_2c4442cade22.jpg,2c4442cade2231a152907183b586c8171b61602bc090d7687a786b53ef5c9793,256,256,2c4442cade2231a152907183b586c8171b61602bc090d7687a786b53ef5c9793,4,train
AQUA20,train,train,20,0,coral,/home/tahiti/MARINE_DATASETS/AQUA20_PREPARED/images/train/00_coral/train_000020_2a504772e4a4.jpg,2a504772e4a45e84db3bf83aa83bef4a1287ee23071431eeb54e94f9c9de60c0,256,256,2a504772e4a45e84db3bf83aa83bef4a1287ee23071431eeb54e94f9c9de60c0,4,train
AQUA20,train,train,21,0,coral,/home/tahiti/MARINE_DATASETS/AQUA20_PREPARED/images/train/00_coral/train_000021_fdb2985b8edf.jpg,fdb2985b8edf9a5f7b0c810f09c8cb9392f446f214657b209c09e42b99ffb344,256,256,fdb2985b8edf9a5f7b0c810f09c8cb9392f446f214657b209c09e42b99ffb344,6,train
AQUA20,train,train,23,0,coral,/home/tahiti/MARINE_DATASETS/AQUA20_PREPARED/images/train/00_coral/train_000023_eb600d0cfb8a.jpg,eb600d0cfb8a182ab2c15a4884860de81a92294163d85aa936bbc528cdbcaff3,256,256,eb600d0cfb8a182ab2c15a4884860de81a92294163d85aa936bbc528cdbcaff3,4,train
AQUA20,train,train,24,0,coral,/home/tahiti/MARINE_DATASETS/AQUA20_PREPARED/images/train/00_coral/train_000024_f228b1f33aba.jpg,f228b1f33abaded8ab6a3bb14798e48806913ea6952d4879cc4605b87313bd8a,256,256,f228b1f33abaded8ab6a3bb14798e48806913ea6952d4879cc4605b87313bd8a,4,train
