annotation_id,image_id,category_id,label,roi_path,source_path,roi_sha256,source_sha256,group_id,fold,split
95,36,35,Isididae,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/rois/36_95.png,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/images/36.png,a68ea45b16aac4b251ec68106ff9d0ff089b489a76ba6b03fa89d81421797da4,b154bddc9f3453361ef39507592d3c891ed871c37a16e9ab04fd0ed05a0fa7be,36,6,train
562,148,49,Ophiuroidea,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/rois/148_562.png,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/images/148.png,267bd643c10b72ce437381a3c4efb5763a7b4a11377bafa16be4e4f1867514b6,b63d7bb26c93a3213edf385f113910890e18e2e9e9ad6d6754ff6bc161c9d016,148,1,train
610,162,37,Keratoisis,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/rois/162_610.png,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/images/162.png,398cb3de581ec1e223c9047f0e78d3ef15ca538b227d4e4b9b0544c177d48f77,ff02a802e7cf19baf9daecb21fbd384b8fedbdeb39108572b9a6e0327420048e,162,1,train
781,201,74,Strongylocentrotus fragilis,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/rois/201_781.png,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/images/201.png,fb04f3fdf2cfd55b6a13363eee0ee7721475bdd5ce8272f31290644bc6aa3f00,b7b08f5c0b84f9fa4739292c77e52b005783c95a0a54e1272503c2ed935c5193,201,2,train
846,229,60,Porifera,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/rois/229_846.png,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/images/229.png,3995132a2063c3b8e433698b0f265ad9e1b6999174db6bf79add792cd07476cb,c561badb7dcc5cc41dc4ebb12c4d99d32f1c56072d7ca80049a9713a3dab7f5a,229,1,train
919,255,54,Paragorgia,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/rois/255_919.png,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/images/255.png,f94ed91c617daa8b268c3a9b5949d644531bb6c546b056069b93e2922b942178,4051997ee5613338d90d02c8ad1e13ae3660d2dc81b650d4c123a356e691d8ed,255,4,train
976,267,61,Psathyrometra fragilis,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/rois/267_976.png,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/images/267.png,0e815eee9b7f5aee1b629b76890af8ec9b46bcc98dc22b3965717eb7ecc7ff79,b15c7cbbccb16de42adeeca6474e9edfa646cc7bb82a7ea3d1dcaed57549eba3,267,4,train
1121,306,74,Strongylocentrotus fragilis,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/rois/306_1121.png,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/images/306.png,028c292f42cf87fdd859d2472403682f8df8a541d8e86227db0c7ef1aa038229,4dea7c7cf13208c94911b18036fba962b67bf46e35ed9dc2c04d694df571bc2f,306,2,train
1148,313,28,Heterochone calyx,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/rois/313_1148.png,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/images/313.png,0e6ac5b764bf0590090735f246a5cd1045bc1f50ca101a0f1aacd910da661bf9,46bec2574409b8b47f37e9d6f3b124e1a845753f370c90f91db386543cc03914,313,6,train
1206,324,49,Ophiuroidea,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/rois/324_1206.png,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/images/324.png,cc97396702999e7ea90d0cc44c763fc851bc2cb1605493a8b5ea544251258f13,8db4af5f50f49111c8e2b069fcde45c51b0125978e7ee0df986fd801f3387e94,324,0,train
1299,346,65,Rathbunaster californicus,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/rois/346_1299.png,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/images/346.png,5fb242313685308b72871f946acc079c40aca4a9b17e622305786f2b69ac04c3,60634e93e01d41eaecbd68a36c427ad8744bccaf03d75df1ca1323c2215fab3f,346,0,train
1402,369,46,Mycale,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/rois/369_1402.png,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/images/369.png,ee0c6a252b85c20d8aaeb196eeb67d31b531cb3fc3a67e73a250fcc603e334d0,bd81e0295de2880133eb0125ebe80e71bc3ebc6e5fc8c9842510eaf2f657af48,369,2,train
1415,373,79,Zoantharia,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/rois/373_1415.png,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/images/373.png,0c721619dfe6a6b734317abf97df3d35a663c1879f74e4b7166c2d2c1318ce38,4d892a537a4b5a79427fadd552e7ef4cd0b2b4b86c0f78415c9fdc744c2ae6a2,373,6,train
1463,378,28,Heterochone calyx,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/rois/378_1463.png,/home/tahiti/MARINE_DATASETS/FathomNet_FGVC2025/data/images/378.png,c33dc7e54138630f445c3e78a6b93cdf77e18437b9a7fc17f21facc4150182ef,f06d449e8eab93411216e268fb8662d616f318a1f23b981819c13102ad282958,378,6,train
