status,run_id,dataset,backbone,method,budget,seed,epochs,best_epoch,adapter_dim,dropout,n_classes,n_train,n_full_train,realized_train_fraction,n_val,n_test,total_params,trainable_params,val_accuracy,val_macro_f1,val_balanced_accuracy,test_accuracy,test_macro_f1,test_balanced_accuracy,runtime_sec,peak_gpu_mem_gb,stage,_path,width_ablation,shot_k,split_seed
complete,fathomnet__scratch_cnn__scratch_cnn__b100__s45,fathomnet,scratch_cnn,scratch_cnn,100,45,10,9,128,0.1,79,16688,16688,1.0,3622,3389,409199,409199,0.24378796245168416,0.21427044148822372,0.25967229780504136,0.2655650634405429,0.2248837956793655,0.2541439354559424,463.1531205177307,2.5116357803344727,scratch,MARINE_EXPERIMENTS_V2/FULL_SUITE/scratch/fathomnet__scratch_cnn__scratch_cnn__b100__s45/result.json,,,
complete,fathomnet__scratch_cnn__scratch_cnn__b001__s45,fathomnet,scratch_cnn,scratch_cnn,001,45,10,10,128,0.1,79,220,16688,0.013183125599232981,3622,3389,409199,409199,0.04307012700165654,0.021553199653988067,0.03992256350705061,0.028031867807612864,0.020941732709230755,0.03336155149069011,105.39329648017883,2.5116357803344727,scratch,MARINE_EXPERIMENTS_V2/FULL_SUITE/scratch/fathomnet__scratch_cnn__scratch_cnn__b001__s45/result.json,,,
complete,aqua20__scratch_cnn__scratch_cnn__b100__s42,aqua20,scratch_cnn,scratch_cnn,100,42,10,8,128,0.1,20,5842,5842,1.0,1164,1165,394036,394036,0.4630584192439863,0.1327948002648744,0.1387700716281452,0.47296137339055794,0.1497292438332651,0.15629456358938762,149.05452585220337,2.5113964080810547,scratch,MARINE_EXPERIMENTS_V2/FULL_SUITE/scratch/aqua20__scratch_cnn__scratch_cnn__b100__s42/result.json,,,
complete,fathomnet__scratch_cnn__scratch_cnn__b100__s46,fathomnet,scratch_cnn,scratch_cnn,100,46,10,10,128,0.1,79,16688,16688,1.0,3622,3389,409199,409199,0.23522915516289342,0.20782822681008087,0.25198577085516133,0.24697550899970494,0.20747626729695362,0.23814868755657137,451.008323431015,2.5116357803344727,scratch,MARINE_EXPERIMENTS_V2/FULL_SUITE/scratch/fathomnet__scratch_cnn__scratch_cnn__b100__s46/result.json,,,
complete,aqua20__scratch_cnn__scratch_cnn__b001__s46,aqua20,scratch_cnn,scratch_cnn,001,46,10,10,128,0.1,20,70,5842,0.011982197877439232,1164,1165,394036,394036,0.2697594501718213,0.033980525732997854,0.06741565677821301,0.27811158798283264,0.03828836288549807,0.08711840636470276,35.3432252407074,1.3875236511230469,scratch,MARINE_EXPERIMENTS_V2/FULL_SUITE/scratch/aqua20__scratch_cnn__scratch_cnn__b001__s46/result.json,,,
complete,fathomnet__scratch_cnn__scratch_cnn__b001__s44,fathomnet,scratch_cnn,scratch_cnn,001,44,10,10,128,0.1,79,220,16688,0.013183125599232981,3622,3389,409199,409199,0.01684152401987852,0.005064049436683852,0.015208069998246112,0.015933903806432576,0.009831405872495192,0.015808801042256133,103.77021527290344,2.5116357803344727,scratch,MARINE_EXPERIMENTS_V2/FULL_SUITE/scratch/fathomnet__scratch_cnn__scratch_cnn__b001__s44/result.json,,,
complete,fathomnet__scratch_cnn__scratch_cnn__b100__s44,fathomnet,scratch_cnn,scratch_cnn,100,44,10,10,128,0.1,79,16688,16688,1.0,3622,3389,409199,409199,0.23937051352843733,0.21028003780559051,0.2560577621038311,0.26408970197698434,0.22266681333502744,0.2552378472582662,555.8599843978882,2.5126123428344727,scratch,MARINE_EXPERIMENTS_V2/FULL_SUITE/scratch/fathomnet__scratch_cnn__scratch_cnn__b100__s44/result.json,,,
complete,aqua20__scratch_cnn__scratch_cnn__b010__s45,aqua20,scratch_cnn,scratch_cnn,010,45,10,10,128,0.1,20,592,5842,0.10133515919205752,1164,1165,394036,394036,0.39690721649484534,0.07786183260971971,0.08804980118724251,0.384549356223176,0.08935652459308804,0.09928854079992465,22.45762324333191,2.5107860565185547,scratch,MARINE_EXPERIMENTS_V2/FULL_SUITE/scratch/aqua20__scratch_cnn__scratch_cnn__b010__s45/result.json,,,
complete,aqua20__scratch_cnn__scratch_cnn__b010__s44,aqua20,scratch_cnn,scratch_cnn,010,44,10,10,128,0.1,20,592,5842,0.10133515919205752,1164,1165,394036,394036,0.3960481099656357,0.09589890482479446,0.09821563590248839,0.41373390557939915,0.11054853272451078,0.111631248289247,49.47246170043945,2.5113964080810547,scratch,MARINE_EXPERIMENTS_V2/FULL_SUITE/scratch/aqua20__scratch_cnn__scratch_cnn__b010__s44/result.json,,,
complete,fathomnet__scratch_cnn__scratch_cnn__b010__s46,fathomnet,scratch_cnn,scratch_cnn,010,46,10,10,128,0.1,79,1709,16688,0.10240891658676894,3622,3389,409199,409199,0.1267255659856433,0.0860136783869895,0.13363580769615577,0.14311006196518147,0.0978499239899292,0.13645754813163,120.15117645263672,2.5113916397094727,scratch,MARINE_EXPERIMENTS_V2/FULL_SUITE/scratch/fathomnet__scratch_cnn__scratch_cnn__b010__s46/result.json,,,
