dataset,backbone,method,trainable_params
aqua20,dinov2_small,full_finetune,22064276.0
aqua20,dinov2_small,last_block_ft,1783700.0
aqua20,dinov2_small,linear_probe,7700.0
aqua20,dinov2_small,marine_adapter,107284.0
aqua20,dinov2_small,mlp_head,107284.0
aqua20,resnet18,full_finetune,11186772.0
aqua20,resnet18,last_block_ft,8403988.0
aqua20,resnet18,linear_probe,10260.0
aqua20,resnet18,marine_adapter,142996.0
aqua20,resnet18,mlp_head,142996.0
fathomnet,dinov2_small,full_finetune,22086991.0
fathomnet,dinov2_small,last_block_ft,1806415.0
fathomnet,dinov2_small,linear_probe,30415.0
fathomnet,dinov2_small,marine_adapter,129999.0
fathomnet,dinov2_small,mlp_head,129999.0
fathomnet,resnet18,full_finetune,11217039.0
fathomnet,resnet18,last_block_ft,8434255.0
fathomnet,resnet18,linear_probe,40527.0
fathomnet,resnet18,marine_adapter,173263.0
fathomnet,resnet18,mlp_head,173263.0
